1,バイオハザード7 レジデント イービル,カプコン,2017年01月26日,PS4,アクション,7990円［税抜］,4万2165本,累計：27万3353本
2,ポケットモンスター サン・ムーン,ポケモン,2016年11月18日,3DS,RPG,4980円［税抜］,2万0902本,累計：362万1107本
3,妖怪ウォッチ3 スキヤキ,レベルファイブ,2016年12月15日,3DS,RPG,4800円［税抜］,1万3223本,累計：64万8741本
4,ポチと！ ヨッシーウールワールド,任天堂,2017年01月19日,3DS,アクション,4700円［税抜］,1万1964本,累計：8万4863本
5,スーパーマリオメーカー for ニンテンドー3DS,任天堂,2016年12月01日,3DS,アクション,4700円［税抜］,1万1910本,累計：105万6770本
6,GRAVITY DAZE 2/重力的眩暈完結編：上層への帰還の果て、彼女の内宇宙に収斂した選択,ソニー・インタラクティブエンタテインメントジャパンアジア,2017年01月19日,PS4,アクション・アドベンチャー,6900円［税抜］	,8952本,累計：9万4765本
7,NARUTO-ナルト- 疾風伝 ナルティメットストーム4 ROAD TO BORUTO,バンダイナムコエンターテインメント,2017年02月02日,PS4,アクション,6800円［税抜］,8547本,累計：8547本
8,ハコボーイ！ ハコづめBOX,任天堂,2017年02月02日,3DS,パズル・アクション,3200円［税抜］,6010本,累計：6010本
9,キングダム ハーツ HD 2.8 ファイナル チャプター プロローグ,スクウェア・エニックス,2017年01月12日,PS4,アクション・RPG,6800円［税抜］,5935本,累計：17万3623本
10,とびだせ どうぶつの森 amiibo＋,任天堂,2016年11月23日,3DS,その他,2700円［税抜］,5047本,累計：12万9213本
11,グランド・セフト・オートV（新価格版）,ロックスター・ゲームス,2015年10月08日,PS4,アクション,4990円［税抜］,4968本,累計：20万3668本
12,桃太郎電鉄2017 たちあがれ日本!!,任天堂,2016年12月22日,3DS,ボードゲーム,4980円［税抜］,4802本,累計：36万9141本
13,ファイナルファンタジーXV,スクウェア・エニックス,2016年11月29日,PS4,RPG,8800円［税抜］,4765本,累計：93万8468本
14,Miitopia（ミートピア）,任天堂,2016年12月08日,3DS,コミュニケーション,4700円［税抜］,4524本,累計：19万2934本
15,妖怪ウォッチ3 スシ/テンプラ,レベルファイブ,2016年07月16日,3DS,RPG,4800円［税抜］,4424本,累計：145万7398本
16,Minecraft： PlayStation Vita Edition,ソニー・インタラクティブエンタテインメントジャパンアジア,2015年03月19日,Vita,コンストラクション,2400円［税抜］,4008本,累計：93万9228本
17,蒼き革命のヴァルキュリア,セガゲームス,2017年01月19日,PS4,RPG,7990円［税抜］,3836本,累計：5万3396本
18,ニューダンガンロンパV3 みんなのコロシアイ新学期,スパイク・チュンソフト,2017年01月12日,Vita,アドベンチャー,6400円［税抜］,3719本,累計：10万5236本
19,マリオカート7,任天堂,2011年12月01日,3DS,アクション,4571円［税抜］,3441本,累計：266万6011本
20,Minecraft： Wii U Edition,日本マイクロソフト,2016年06月23日,Wii U,コンストラクション,3600円［税抜］,3308本,累計：28万5250本
21,バイオハザード6,カプコン,2016年12月01日,PS4,アクション・アドベンチャー,2800円［税抜］,2976本,累計：3万5437本
22,レインボーシックス シージ,ユービーアイソフト,2015年12月10日,PS4,FPS,8400円［税抜］,2860本,累計：17万0763本
23,Minecraft： PlayStation 4 Edition,ソニー・インタラクティブエンタテインメントジャパンアジア,2015年12月03日,PS4,コンストラクション,2400円［税抜］,2748本,累計：17万8029本
24,蒼き革命のヴァルキュリア,セガゲームス,2017年01月19日,Vita,RPG,6990円［税抜］,2601本,累計：2万8495本
25,バトルフィールド 1,エレクトロニック・アーツ,2016年10月21日,PS4,FPS,7800円［税抜］,2275本,累計：25万5967本
26,実況パワフルプロ野球 ヒーローズ,KONAMI,2016年12月15日,3DS,スポーツ,4500円［税抜］,2260本,累計：10万3553本
27,うたの☆プリンスさまっ♪ Repeat LOVE,ブロッコリー,2017年01月26日,Vita,アドベンチャー,5800円［税抜］,2234本,累計：1万9777本
28,パズドラクロス 神の章/龍の章,ガンホー・オンライン・エンターテイメント,2016年07月28日,3DS,パズル・RPG,4800円［税抜］,2180本,累計：30万0968本
29,星のカービィ ロボボプラネット,任天堂,2016年04月28日,3DS,アクション,4700円［税抜］,2064本,累計：50万6351本
30,Splatoon（スプラトゥーン）,任天堂,2015年05月28日,Wii U,TPS,5700円［税抜］,2026本,累計：148万4429本
